Sl. No.,Component,Specification,Qty,Unit Price (₹),Total (₹)
1,Arduino UNO R4 WiFi,"32-bit RA4M1, Wi-Fi + Bluetooth",1,"8,500","8,500"
2,IR LED,940 nm High Power,2,50,100
3,IR Sensor,High Sensitivity,2,150,300
4,18650 Li-ion Battery,3400 mAh,1,600,600
5,TP4056 Charging Module with Protection,USB-C,1,200,200
6,DC-DC Buck Converter,3.3V/5V Adjustable,1,250,250
7,Active Piezo Buzzer,5V,1,150,150
8,High Brightness LEDs,"Red, Yellow, Green",3,30,90
9,Mini Speaker,3W 4Ω,1,500,500
10,Breadboard,Full Size,1,350,350
11,Jumper Wire Kit,"Premium Male-Male, Male-Female",1,300,300
12,Resistor Kit,Assorted,1,200,200
13,"PCB, Headers & Connectors","JST, Berg Strips, Terminals",1,600,600
14,Mounting Hardware,"Screws, Nuts, Standoffs, Heat Shrink",1,500,500
15,USB-C Cable & Misc. Wiring,High Quality,1,500,500
,Total,,,,"13,140"
